+ cd gnn
+ graphs=("star_graph_n4" "star_graph_n5")
+ joined_graphs_args='star_graph_n4 star_graph_n5'
+ epochs=50
+ batch_size=256
+ hidden_size=32
+ python lstm_scratch.py --program maximal_matching --epochs 50 --batch-size 256 --hidden-size 32 --num-layers 2 --graph-names star_graph_n4 star_graph_n5
Timestamp: 1751126850.281972 | Program: maximal_matching | Training with Graphs: star_graph_n4, star_graph_n5 | Batch size: 256 | Epochs: 50 | Hidden size: 32 | Num layers: 2.


Train dataset size: 3,009, Subset size: 200,000 | Test dataset size: 63


Model SimpleLSTM(
  (lstm): GRU(3, 32, num_layers=2, batch_first=True)
  (norm): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
  (h2o): Linear(in_features=32, out_features=1, bias=True)
)
Total parameters: 9,985


Training set | Epoch: 1/50 | MSE Loss: 22.4465 | Time taken: 0.6224s
Training set | Epoch: 2/50 | MSE Loss: 7.6508 | Time taken: 0.436s
Training set | Epoch: 3/50 | MSE Loss: 6.3733 | Time taken: 0.4366s
Training set | Epoch: 4/50 | MSE Loss: 6.5638 | Time taken: 0.442s
Training set | Epoch: 5/50 | MSE Loss: 6.3877 | Time taken: 0.4396s
Training set | Epoch: 6/50 | MSE Loss: 6.3461 | Time taken: 0.4333s
Training set | Epoch: 7/50 | MSE Loss: 6.3648 | Time taken: 0.4328s
Training set | Epoch: 8/50 | MSE Loss: 6.3145 | Time taken: 0.4346s
Training set | Epoch: 9/50 | MSE Loss: 6.2491 | Time taken: 0.4324s
Training set | Epoch: 10/50 | MSE Loss: 5.8285 | Time taken: 0.4333s
Training set | Epoch: 11/50 | MSE Loss: 3.9911 | Time taken: 0.434s
Training set | Epoch: 12/50 | MSE Loss: 3.098 | Time taken: 0.4325s
Training set | Epoch: 13/50 | MSE Loss: 2.7847 | Time taken: 0.4344s
Training set | Epoch: 14/50 | MSE Loss: 2.5602 | Time taken: 0.4372s
Training set | Epoch: 15/50 | MSE Loss: 2.4894 | Time taken: 0.4366s
Training set | Epoch: 16/50 | MSE Loss: 2.4269 | Time taken: 0.433s
Training set | Epoch: 17/50 | MSE Loss: 2.3876 | Time taken: 0.4347s
Training set | Epoch: 18/50 | MSE Loss: 2.3493 | Time taken: 0.4332s
Training set | Epoch: 19/50 | MSE Loss: 2.3137 | Time taken: 0.4333s
Training set | Epoch: 20/50 | MSE Loss: 2.2779 | Time taken: 0.4338s
Training set | Epoch: 21/50 | MSE Loss: 2.2394 | Time taken: 0.4337s
Training set | Epoch: 22/50 | MSE Loss: 2.2007 | Time taken: 0.433s
Training set | Epoch: 23/50 | MSE Loss: 2.1611 | Time taken: 0.4356s
Training set | Epoch: 24/50 | MSE Loss: 2.1191 | Time taken: 0.4336s
Training set | Epoch: 25/50 | MSE Loss: 2.0799 | Time taken: 0.4333s
Training set | Epoch: 26/50 | MSE Loss: 2.0451 | Time taken: 0.4336s
Training set | Epoch: 27/50 | MSE Loss: 2.0075 | Time taken: 0.4342s
Training set | Epoch: 28/50 | MSE Loss: 1.9726 | Time taken: 0.4339s
Training set | Epoch: 29/50 | MSE Loss: 1.9359 | Time taken: 0.4336s
Training set | Epoch: 30/50 | MSE Loss: 1.9019 | Time taken: 0.4337s
Training set | Epoch: 31/50 | MSE Loss: 1.8658 | Time taken: 0.4345s
Training set | Epoch: 32/50 | MSE Loss: 1.8301 | Time taken: 0.4343s
Training set | Epoch: 33/50 | MSE Loss: 1.7939 | Time taken: 0.4336s
Training set | Epoch: 34/50 | MSE Loss: 1.7551 | Time taken: 0.4345s
Training set | Epoch: 35/50 | MSE Loss: 1.7173 | Time taken: 0.4338s
Training set | Epoch: 36/50 | MSE Loss: 1.6781 | Time taken: 0.433s
Training set | Epoch: 37/50 | MSE Loss: 1.6405 | Time taken: 0.4326s
Training set | Epoch: 38/50 | MSE Loss: 1.6043 | Time taken: 0.4331s
Training set | Epoch: 39/50 | MSE Loss: 1.5648 | Time taken: 0.4321s
Training set | Epoch: 40/50 | MSE Loss: 1.525 | Time taken: 0.4859s
Training set | Epoch: 41/50 | MSE Loss: 1.4911 | Time taken: 0.4371s
Training set | Epoch: 42/50 | MSE Loss: 1.4542 | Time taken: 0.4336s
Training set | Epoch: 43/50 | MSE Loss: 1.4096 | Time taken: 0.4363s
Training set | Epoch: 44/50 | MSE Loss: 1.3625 | Time taken: 0.4359s
Training set | Epoch: 45/50 | MSE Loss: 1.3144 | Time taken: 0.4369s
Training set | Epoch: 46/50 | MSE Loss: 1.2565 | Time taken: 0.4382s
Training set | Epoch: 47/50 | MSE Loss: 1.1773 | Time taken: 0.4351s
Training set | Epoch: 48/50 | MSE Loss: 1.1473 | Time taken: 0.4343s
Training set | Epoch: 49/50 | MSE Loss: 1.2362 | Time taken: 0.4362s
Training set | Epoch: 50/50 | MSE Loss: 1.0329 | Time taken: 0.436s


End Training | Total training time taken 21.9729s


Saving model trained_models/lstm_trained_at_2025_06_28_10_07.pt


Testing model...
Test set | MSE loss: 1.1879 | Total matched: 27 out of 63 (Accuracy: 42.86%)
