Timestamp: 1750796395.325224 | Program: maximal_matching | Training with Graphs: star_graph_n6, graph_powerlaw_cluster_graph_n6, graph_random_regular_graph_n6_d3 | Batch size: 256 | Epochs: 50 | Hidden size: 32 | Num layers: 2.


Train dataset size: 461,618, Subset size: 200,000 | Test dataset size: 9,422


Model SimpleLSTM(
  (lstm): GRU(3, 32, num_layers=2, batch_first=True)
  (norm): LayerNorm((32,), eps=1e-05, elementwise_affine=True)
  (h2o): Linear(in_features=32, out_features=1, bias=True)
)
Total parameters: 9,985


Training set | Epoch: 1/50 | MSE Loss: 8.3131 | Time taken: 176.8909s
Training set | Epoch: 2/50 | MSE Loss: 4.297 | Time taken: 176.9338s
Training set | Epoch: 3/50 | MSE Loss: 3.4675 | Time taken: 177.6755s
Training set | Epoch: 4/50 | MSE Loss: 3.2062 | Time taken: 177.4098s
Training set | Epoch: 5/50 | MSE Loss: 3.6565 | Time taken: 176.9436s
Training set | Epoch: 6/50 | MSE Loss: 2.6307 | Time taken: 177.0318s
Training set | Epoch: 7/50 | MSE Loss: 3.0591 | Time taken: 177.3933s
Training set | Epoch: 8/50 | MSE Loss: 2.2945 | Time taken: 177.4598s
Training set | Epoch: 9/50 | MSE Loss: 1.8818 | Time taken: 177.0522s
Training set | Epoch: 10/50 | MSE Loss: 1.6317 | Time taken: 177.1049s
Training set | Epoch: 11/50 | MSE Loss: 1.6092 | Time taken: 177.1507s
Training set | Epoch: 12/50 | MSE Loss: 1.3166 | Time taken: 177.1034s
Training set | Epoch: 13/50 | MSE Loss: 1.5032 | Time taken: 177.2099s
Training set | Epoch: 14/50 | MSE Loss: 1.2374 | Time taken: 177.2268s
Training set | Epoch: 15/50 | MSE Loss: 1.148 | Time taken: 177.2016s
Training set | Epoch: 16/50 | MSE Loss: 1.1735 | Time taken: 177.2613s
Training set | Epoch: 17/50 | MSE Loss: 1.1142 | Time taken: 177.084s
Training set | Epoch: 18/50 | MSE Loss: 1.4989 | Time taken: 177.0403s
Training set | Epoch: 19/50 | MSE Loss: 1.2025 | Time taken: 177.2253s
Training set | Epoch: 20/50 | MSE Loss: 1.2848 | Time taken: 177.329s
Training set | Epoch: 21/50 | MSE Loss: 1.2196 | Time taken: 176.8433s
Training set | Epoch: 22/50 | MSE Loss: 1.0027 | Time taken: 176.8621s
Training set | Epoch: 23/50 | MSE Loss: 1.0468 | Time taken: 176.8568s
Training set | Epoch: 24/50 | MSE Loss: 0.9653 | Time taken: 176.9735s
Training set | Epoch: 25/50 | MSE Loss: 1.0076 | Time taken: 177.5164s
Training set | Epoch: 26/50 | MSE Loss: 1.0029 | Time taken: 176.9836s
Training set | Epoch: 27/50 | MSE Loss: 1.1014 | Time taken: 177.1422s
Training set | Epoch: 28/50 | MSE Loss: 0.9204 | Time taken: 176.9901s
Training set | Epoch: 29/50 | MSE Loss: 0.858 | Time taken: 176.9946s
Training set | Epoch: 30/50 | MSE Loss: 0.987 | Time taken: 176.7498s
Training set | Epoch: 31/50 | MSE Loss: 0.8769 | Time taken: 177.4839s
Training set | Epoch: 32/50 | MSE Loss: 0.8958 | Time taken: 176.8371s
Training set | Epoch: 33/50 | MSE Loss: 0.8651 | Time taken: 176.8613s
Training set | Epoch: 34/50 | MSE Loss: 0.8575 | Time taken: 177.3504s
Training set | Epoch: 35/50 | MSE Loss: 0.8573 | Time taken: 176.9563s
Training set | Epoch: 36/50 | MSE Loss: 0.8869 | Time taken: 177.5004s
Training set | Epoch: 37/50 | MSE Loss: 0.8453 | Time taken: 177.1891s
Training set | Epoch: 38/50 | MSE Loss: 0.9414 | Time taken: 176.9868s
Training set | Epoch: 39/50 | MSE Loss: 0.8027 | Time taken: 177.0834s
Training set | Epoch: 40/50 | MSE Loss: 0.7897 | Time taken: 177.3107s
Training set | Epoch: 41/50 | MSE Loss: 0.8016 | Time taken: 177.2342s
Training set | Epoch: 42/50 | MSE Loss: 0.8122 | Time taken: 177.148s
Training set | Epoch: 43/50 | MSE Loss: 0.8888 | Time taken: 177.2595s
Training set | Epoch: 44/50 | MSE Loss: 0.868 | Time taken: 176.8055s
Training set | Epoch: 45/50 | MSE Loss: 0.8237 | Time taken: 177.865s
Training set | Epoch: 46/50 | MSE Loss: 1.3352 | Time taken: 177.4732s
Training set | Epoch: 47/50 | MSE Loss: 0.9584 | Time taken: 177.0648s
Training set | Epoch: 48/50 | MSE Loss: 0.869 | Time taken: 176.8594s
Training set | Epoch: 49/50 | MSE Loss: 0.7859 | Time taken: 177.1444s
Training set | Epoch: 50/50 | MSE Loss: 0.7675 | Time taken: 177.1097s


End Training | Total training time taken 8857.1742s


Saving model trained_models/lstm_trained_at_2025_06_24_16_47.pt


Testing model...
Test set | MSE loss: 2.6608 | Total matched: 5,109 out of 9,422 (Accuracy: 54.22%)
