Rank,Count (Max),Count (Avg)
0,15,15
1,252,252
2,1980,1980
3,9663,9663
4,32808,32808
5,82261,82261
6,157859,157862
7,237358,237387
8,284896,284989
9,279708,279714
10,237915,238412
11,203082,204151
12,214444,217315
13,280622,283423
14,375911,379667
15,460503,478903
16,512170,551055
17,540573,581960
18,564405,616146
19,577651,550893
20,552650,524380
21,478763,428853
22,384208,355022
23,313898,299403
24,293198,295025
25,313120,312012
26,340983,340180
27,345174,344569
28,318214,321400
29,277074,285686
30,238613,245473
31,200837,194727
32,153409,146455
33,98179,88357
34,49645,45300
35,18934,16616
36,5172,4173
37,936,649
38,97,48
39,4,0
