Node,1,2,3,4,5,10,20,30,40,50,60,70,80,90,100,110,120
0,23520,14701,10068,7417,20415,15747,5396,1846,617,187,62,16,6,1,1,0
1,12252,9731,8718,7371,26417,23636,8047,2664,809,242,83,24,5,1,0,0
2,12340,9727,8488,7448,26556,23707,7849,2597,894,266,88,24,9,4,2,1
3,12142,9894,8524,7537,26419,23629,8006,2642,851,251,68,30,5,2,0,0
4,16564,10454,8167,6725,24030,22279,7737,2696,915,303,92,30,6,1,1,0
5,21658,14431,10382,7746,22679,16559,4799,1246,361,101,27,8,3,0,0,0
6,11295,9652,8577,7450,26660,24509,8101,2544,824,239,103,30,9,6,1,0
7,11346,9812,8529,7424,26832,23909,8166,2700,862,292,89,24,10,3,1,0
8,11484,9510,8460,7584,26775,24291,7981,2625,865,278,95,37,8,2,4,1
9,11340,9842,8524,7391,26746,24215,8005,2640,873,311,77,25,9,1,1,0
