Node,1,2,3,4,5,10,20,30,40,50,60,70,80,90,100
0,2340,1459,993,747,2064,1619,522,173,59,22,2,0,0,0
1,1227,1003,828,746,2610,2416,774,276,86,24,6,3,0,0
2,1241,1004,834,755,2596,2312,854,295,85,14,7,3,0,0
3,1205,989,883,765,2597,2365,793,284,79,30,6,1,2,1
4,1622,1041,826,692,2334,2311,763,248,109,38,8,5,1,2
5,2093,1477,1054,735,2326,1676,439,150,37,11,1,1,0,0
6,1110,960,855,778,2682,2439,804,239,91,27,11,3,1,0
7,1118,981,857,700,2691,2445,818,270,85,23,7,5,0,0
8,1164,925,840,735,2699,2439,830,263,68,23,10,3,0,1
9,1102,974,868,720,2715,2404,804,285,91,31,5,0,0,1
