,X,y
0,0.26592186,0.6249164
1,0.7644656,1.796494
2,0.023004368,0.05406026
3,-1.0486773,-2.4643917
4,-1.0197854,-2.3964956
5,-1.5862018,-3.727574
6,-0.9969856,-2.342916
7,-0.89981556,-2.1145666
8,1.5122105,3.5536945
9,-1.0437702,-2.4528599
10,0.20676655,0.48590136
11,1.026992,2.413431
12,-0.58828354,-1.3824663
13,-0.96751726,-2.2736654
14,-0.039179392,-0.09207157
15,-0.10909991,-0.2563848
16,0.25977746,0.610477
17,0.08420749,0.1978876
18,0.44540825,1.0467093
19,1.8652976,4.383449
20,0.02698826,0.06342241
21,-0.16700993,-0.39247334
22,0.096208595,0.2260902
23,-1.0098314,-2.3731039
24,0.3121913,0.73364955
25,0.09380743,0.22044745
26,-0.35129935,-0.8255534
27,0.72954696,1.7144353
28,-2.2133603,-5.2013965
29,-1.2636055,-2.9694726
30,0.8519424,2.0020647
31,0.5754603,1.3523316
32,-1.3651042,-3.2079947
33,0.5372127,1.2624499
34,1.8389323,4.321491
35,0.5340998,1.2551345
36,0.6515502,1.5311428
37,2.1596036,5.0750685
38,-0.59607196,-1.400769
39,-0.52162546,-1.2258198
40,0.11720546,0.27543283
41,0.5585599,1.3126158
42,1.0430346,2.451131
43,-0.47127545,-1.1074972
44,-0.94769293,-2.2270782
45,1.3956833,3.2798555
46,-1.2061685,-2.834496
47,1.2412906,2.9170327
48,-1.4270355,-3.3535333
49,-0.4253542,-0.99958235
50,0.2899163,0.6813033
51,0.5404805,1.2701291
52,-0.9528073,-2.239097
53,-0.42894983,-1.0080321
54,0.17754392,0.4172282
55,-1.6668142,-3.9170132
56,-1.1541785,-2.7123194
57,0.8870452,2.084556
58,-0.4449617,-1.0456599
59,0.11417784,0.2683179
60,-0.37984863,-0.8926442
61,0.16154145,0.3796224
62,-0.13084927,-0.30749577
63,0.31806025,0.74744153
64,-1.7138836,-4.0276265
65,-1.037336,-2.4377394
66,0.5741413,1.3492321
67,-0.18841568,-0.44277683
68,-0.8632549,-2.0286489
69,1.2397016,2.9132986
70,-0.6408893,-1.5060898
71,-1.0515621,-2.4711707
72,-1.2908218,-3.033431
73,-0.014856886,-0.03491368
74,0.29811376,0.7005673
75,-1.7567824,-4.1284385
76,1.9750448,4.641355
77,-0.7928961,-1.8633057
78,0.37616414,0.8839857
79,0.59982157,1.4095806
80,0.46888503,1.1018798
81,0.16268712,0.3823147
82,0.23335814,0.54839164
83,-0.44676936,-1.0499079
84,-0.82230127,-1.9324079
85,-2.1787627,-5.120092
86,-1.1379713,-2.6742325
87,-0.1011828,-0.23777957
88,-0.29303882,-0.6886412
89,-0.12065104,-0.28352994
90,-0.68841213,-1.6177684
91,1.0215254,2.4005845
92,0.6507374,1.5292329
93,1.0331438,2.4278877
94,0.89768064,2.1095495
95,0.41103572,0.9659339
96,-2.0887377,-4.9085336
97,0.29995245,0.7048882
98,-1.2509738,-2.9397883
99,0.65032476,1.5282631
100,-0.59288555,-1.393281
101,-1.2927521,-3.0379674
102,0.28811795,0.6770771
103,0.031139286,0.07317732
104,-0.3182056,-0.7477831
105,0.8294299,1.9491602
106,1.3600647,3.196152
107,-0.4082815,-0.9594615
108,0.9394358,2.207674
109,-0.02920054,-0.06862127
110,-1.1579367,-2.721151
111,1.2113875,2.8467605
112,-0.35339445,-0.83047694
113,1.3019795,3.0596519
114,-0.28894722,-0.67902595
115,1.263787,2.9698994
116,0.44578195,1.0475875
117,-0.45200723,-1.062217
118,-1.6806867,-3.9496136
119,-0.30357787,-0.713408
120,0.9425012,2.2148776
121,-0.54753065,-1.286697
122,-2.3391626,-5.4970317
123,0.56625825,1.3307068
124,0.6228915,1.463795
125,-0.106357016,-0.24993898
126,0.83020914,1.9509914
127,2.0850604,4.899892
128,-0.2877821,-0.6762879
129,1.0176413,2.391457
130,0.35180247,0.8267358
131,1.5892048,3.734631
132,1.1012925,2.5880373
133,-0.76013565,-1.7863187
134,-0.03393358,-0.07974391
135,-1.2921733,-3.036607
136,-1.4027312,-3.2964182
137,0.47527725,1.1169015
138,-1.75419,-4.1223464
139,0.06723219,0.15799564
140,0.95852095,2.2525241
141,-0.66483516,-1.5623626
142,-0.47643393,-1.1196197
143,-0.4349653,-1.0221684
144,-0.14645311,-0.3441648
145,-0.21068817,-0.4951172
146,0.21391925,0.5027102
147,0.1647073,0.38706213
148,-0.394095,-0.9261232
149,-0.0077463654,-0.018203957
150,0.25251693,0.5934147
151,1.4522468,3.4127798
152,0.81953555,1.9259084
153,-0.70649403,-1.6602609
154,-1.3757994,-3.2331285
155,0.38041568,0.8939768
156,1.2436947,2.9226823
157,0.50903296,1.1962274
158,-0.03751931,-0.08817037
159,0.8835218,2.076276
160,0.57592285,1.3534186
161,1.4077796,3.308282
162,-0.8827287,-2.0744123
163,-1.1093974,-2.6070838
164,1.0382994,2.4400036
165,-0.74997574,-1.762443
166,0.51110053,1.2010862
167,-0.1066678,-0.25066933
168,0.12102065,0.28439853
169,-0.95710206,-2.2491899
170,-0.6783562,-1.594137
171,-0.69403005,-1.6309706
172,-1.6952752,-3.9838965
173,0.22452489,0.5276335
174,-0.36172816,-0.8500611
175,1.2540783,2.9470837
176,1.2795223,3.0068772
177,0.23706335,0.55709887
178,-1.1687119,-2.7464728
179,0.81443423,1.9139204
180,1.806854,4.2461066
181,0.3681432,0.8651365
182,-1.0513157,-2.4705918
183,0.9651068,2.2680008
184,0.0074941395,0.017611228
185,0.1259678,0.29602432
186,-0.3534951,-0.83071345
187,-1.5811071,-3.7156017
188,0.020901533,0.0491186
189,2.9802334,7.003548
190,0.79422194,1.8664215
191,0.596676,1.4021885
192,-0.9074721,-2.1325593
193,0.83028954,1.9511803
194,-0.19701216,-0.46297854
195,-2.2712624,-5.3374662
196,-0.48058644,-1.1293781
197,-1.0647838,-2.5022418
198,0.46606922,1.0952626
199,0.021164322,0.049736157
200,-1.624928,-3.8185806
201,0.40058422,0.9413729
202,0.39039344,0.91742456
203,0.26669842,0.6267413
204,-1.456827,-3.4235435
205,-0.13098009,-0.30780318
206,-0.9297039,-2.184804
207,-0.386005,-0.90711176
208,1.5748863,3.7009828
209,0.13274345,0.31194708
210,-2.008908,-4.720934
211,1.1057683,2.5985556
212,-0.5363845,-1.2605035
213,2.3348236,5.4868355
214,1.9494506,4.5812087
215,1.717512,4.036153
216,1.8793769,4.4165354
217,-0.045449436,-0.10680617
218,-0.20356229,-0.47837135
219,-0.1320376,-0.31028834
220,-1.1788323,-2.7702558
221,0.1529493,0.35943085
222,0.72160965,1.6957827
223,1.1234969,2.6402175
224,-0.67165023,-1.578378
225,0.87202877,2.0492675
226,0.44248402,1.0398374
227,-2.169949,-5.09938
228,0.58142114,1.3663396
229,-1.822016,-4.2817373
230,-1.0306549,-2.422039
231,-0.4970123,-1.1679789
232,-0.08984658,-0.21113946
233,1.0775826,2.532319
